id,city,weather_desc,temperature,temperature_category,humidity,humidity_category,wind_speed,recorded_at
1,"New York","few clouds",8.54,Cold,54,Normal,2.06,"2025-11-15 02:01:06"
2,"Los Angeles","moderate rain",17.09,Cool,91,Humid,4.63,"2025-11-15 02:01:06"
3,Chicago,"broken clouds",15.91,Cool,84,Humid,0.89,"2025-11-15 02:01:06"
4,Houston,"clear sky",22.48,Cool,77,Humid,7.2,"2025-11-15 02:01:06"
5,Phoenix,"clear sky",24.44,Cool,29,Dry,1.62,"2025-11-15 02:01:06"
6,Philadelphia,"overcast clouds",9.74,Cold,56,Normal,4.12,"2025-11-15 02:01:06"
7,"San Antonio","clear sky",23.57,Cool,57,Normal,2.57,"2025-11-15 02:01:06"
8,"San Diego","light rain",18.34,Cool,80,Humid,2.57,"2025-11-15 02:01:06"
9,Dallas,"clear sky",22.89,Cool,70,Humid,4.12,"2025-11-15 02:01:06"
10,"San Jose","clear sky",14.48,Cold,82,Humid,0.89,"2025-11-15 02:01:07"
11,Austin,"clear sky",23.01,Cool,66,Normal,2.06,"2025-11-15 02:01:07"
12,Jacksonville,mist,15.04,Cool,87,Humid,0,"2025-11-15 02:01:07"
13,"Fort Worth","clear sky",23.27,Cool,65,Normal,5.66,"2025-11-15 02:01:07"
14,Columbus,"overcast clouds",12.26,Cold,78,Humid,1.54,"2025-11-15 02:01:07"
15,Charlotte,"clear sky",11.59,Cold,46,Normal,3.09,"2025-11-15 02:01:07"
16,"San Francisco","scattered clouds",14.66,Cold,78,Humid,4.63,"2025-11-15 02:01:07"
17,Indianapolis,"broken clouds",14.61,Cold,82,Humid,2.06,"2025-11-15 02:01:07"
18,Seattle,mist,9.11,Cold,95,Humid,2.57,"2025-11-15 02:01:07"
19,Denver,"overcast clouds",15.38,Cool,25,Dry,1.79,"2025-11-15 02:01:07"
20,Washington,"overcast clouds",8.99,Cold,91,Humid,0.82,"2025-11-15 02:01:07"
21,"New York","few clouds",8.54,Cold,54,Normal,2.06,"2025-11-15 02:02:05"
22,"Los Angeles","moderate rain",17.09,Cool,91,Humid,4.63,"2025-11-15 02:02:05"
23,Chicago,"broken clouds",15.91,Cool,84,Humid,0.89,"2025-11-15 02:02:06"
